archivo_origen,numero_tabla,nombre_indicador,fuente,categoria,subcategoria,anio,valor
indicador1.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS CON AL MENOS UN INCIDENTE DE VIOLENCIA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR TIPO DE VIOLENCIA Y TAMAÑO DE LOCALIDAD,INMUJERES,nan,Rural,2003,397221.0
indicador1.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS CON AL MENOS UN INCIDENTE DE VIOLENCIA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR TIPO DE VIOLENCIA Y TAMAÑO DE LOCALIDAD,INMUJERES,nan,Urbana,2003,1416149.0
indicador1.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS CON AL MENOS UN INCIDENTE DE VIOLENCIA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR TIPO DE VIOLENCIA Y TAMAÑO DE LOCALIDAD,INMUJERES,Sexual,Total,2003,1527209.0
indicador1.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS CON AL MENOS UN INCIDENTE DE VIOLENCIA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR TIPO DE VIOLENCIA Y TAMAÑO DE LOCALIDAD,INMUJERES,nan,Rural,2003,378856.0
indicador1.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS CON AL MENOS UN INCIDENTE DE VIOLENCIA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR TIPO DE VIOLENCIA Y TAMAÑO DE LOCALIDAD,INMUJERES,nan,Urbana,2003,1148353.0
indicador2.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA ECONÓMICA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,Total,Total,2003,5709078.0
indicador2.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA ECONÓMICA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,15-19 años,15-19 años,2003,206922.0
indicador2.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA ECONÓMICA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,20-24 años,20-24 años,2003,576998.0
indicador2.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA ECONÓMICA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,25-29 años,25-29 años,2003,899069.0
indicador2.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA ECONÓMICA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,30-34 años,30-34 años,2003,892734.0
indicador2.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA ECONÓMICA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,35-39 años,35-39 años,2003,883376.0
indicador2.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA ECONÓMICA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,40-44 años,40-44 años,2003,748390.0
indicador2.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA ECONÓMICA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,45-49 años,45-49 años,2003,574387.0
indicador2.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA ECONÓMICA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,50 y más años,50 y más años,2003,927202.0
indicador2.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA ECONÓMICA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,No especificado,No especificado,2003,0.0
indicador3.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA EMOCIONAL POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,Total,Total,2003,7474242.0
indicador3.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA EMOCIONAL POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,15-19 años,15-19 años,2003,259780.0
indicador3.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA EMOCIONAL POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,20-24 años,20-24 años,2003,731347.0
indicador3.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA EMOCIONAL POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,25-29 años,25-29 años,2003,1107743.0
indicador3.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA EMOCIONAL POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,30-34 años,30-34 años,2003,1210116.0
indicador3.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA EMOCIONAL POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,35-39 años,35-39 años,2003,1109424.0
indicador3.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA EMOCIONAL POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,40-44 años,40-44 años,2003,914820.0
indicador3.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA EMOCIONAL POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,45-49 años,45-49 años,2003,761090.0
indicador3.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA EMOCIONAL POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,50 y más años,50 y más años,2003,1379922.0
indicador3.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA EMOCIONAL POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,No especificado,No especificado,2003,0.0
indicador4.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA FÍSICA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,Total,Total,2003,1813370.0
indicador4.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA FÍSICA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,15-19 años,15-19 años,2003,78607.0
indicador4.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA FÍSICA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,20-24 años,20-24 años,2003,239632.0
indicador4.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA FÍSICA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,25-29 años,25-29 años,2003,317525.0
indicador4.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA FÍSICA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,30-34 años,30-34 años,2003,335149.0
indicador4.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA FÍSICA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,35-39 años,35-39 años,2003,283283.0
indicador4.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA FÍSICA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,40-44 años,40-44 años,2003,197896.0
indicador4.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA FÍSICA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,45-49 años,45-49 años,2003,128724.0
indicador4.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA FÍSICA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,50 y más años,50 y más años,2003,232554.0
indicador4.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA FÍSICA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,No especificado,No especificado,2003,0.0
indicador5.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA SEXUAL POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,Total,Total,2003,1527209.0
indicador5.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA SEXUAL POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,15-19 años,15-19 años,2003,42819.0
indicador5.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA SEXUAL POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,20-24 años,20-24 años,2003,128122.0
indicador5.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA SEXUAL POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,25-29 años,25-29 años,2003,210257.0
indicador5.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA SEXUAL POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,30-34 años,30-34 años,2003,214319.0
indicador5.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA SEXUAL POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,35-39 años,35-39 años,2003,236047.0
indicador5.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA SEXUAL POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,40-44 años,40-44 años,2003,236131.0
indicador5.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA SEXUAL POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,45-49 años,45-49 años,2003,179328.0
indicador5.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA SEXUAL POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,50 y más años,50 y más años,2003,280186.0
indicador5.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA SEXUAL POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,No especificado,No especificado,2003,0.0
indicador1.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS CON AL MENOS UN INCIDENTE DE VIOLENCIA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR TIPO DE VIOLENCIA Y TAMAÑO DE LOCALIDAD,INMUJERES,Total,Total,2006,8656871.0
indicador1.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS CON AL MENOS UN INCIDENTE DE VIOLENCIA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR TIPO DE VIOLENCIA Y TAMAÑO DE LOCALIDAD,INMUJERES,nan,Rural,2006,1672556.0
indicador1.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS CON AL MENOS UN INCIDENTE DE VIOLENCIA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR TIPO DE VIOLENCIA Y TAMAÑO DE LOCALIDAD,INMUJERES,nan,Urbana,2006,6984315.0
indicador1.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS CON AL MENOS UN INCIDENTE DE VIOLENCIA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR TIPO DE VIOLENCIA Y TAMAÑO DE LOCALIDAD,INMUJERES,Emocional,Total,2006,6927327.0
indicador1.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS CON AL MENOS UN INCIDENTE DE VIOLENCIA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR TIPO DE VIOLENCIA Y TAMAÑO DE LOCALIDAD,INMUJERES,nan,Rural,2006,1326558.0
indicador1.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS CON AL MENOS UN INCIDENTE DE VIOLENCIA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR TIPO DE VIOLENCIA Y TAMAÑO DE LOCALIDAD,INMUJERES,nan,Urbana,2006,5600769.0
indicador1.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS CON AL MENOS UN INCIDENTE DE VIOLENCIA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR TIPO DE VIOLENCIA Y TAMAÑO DE LOCALIDAD,INMUJERES,Económica,Total,2006,4955279.0
indicador1.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS CON AL MENOS UN INCIDENTE DE VIOLENCIA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR TIPO DE VIOLENCIA Y TAMAÑO DE LOCALIDAD,INMUJERES,nan,Rural,2006,905500.0
indicador1.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS CON AL MENOS UN INCIDENTE DE VIOLENCIA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR TIPO DE VIOLENCIA Y TAMAÑO DE LOCALIDAD,INMUJERES,nan,Urbana,2006,4049779.0
indicador1.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS CON AL MENOS UN INCIDENTE DE VIOLENCIA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR TIPO DE VIOLENCIA Y TAMAÑO DE LOCALIDAD,INMUJERES,Física,Total,2006,2213941.0
indicador1.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS CON AL MENOS UN INCIDENTE DE VIOLENCIA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR TIPO DE VIOLENCIA Y TAMAÑO DE LOCALIDAD,INMUJERES,nan,Rural,2006,468061.0
indicador1.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS CON AL MENOS UN INCIDENTE DE VIOLENCIA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR TIPO DE VIOLENCIA Y TAMAÑO DE LOCALIDAD,INMUJERES,nan,Urbana,2006,1745880.0
indicador1.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS CON AL MENOS UN INCIDENTE DE VIOLENCIA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR TIPO DE VIOLENCIA Y TAMAÑO DE LOCALIDAD,INMUJERES,Sexual,Total,2006,1292127.0
indicador1.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS CON AL MENOS UN INCIDENTE DE VIOLENCIA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR TIPO DE VIOLENCIA Y TAMAÑO DE LOCALIDAD,INMUJERES,nan,Rural,2006,296451.0
indicador1.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS CON AL MENOS UN INCIDENTE DE VIOLENCIA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR TIPO DE VIOLENCIA Y TAMAÑO DE LOCALIDAD,INMUJERES,nan,Urbana,2006,995676.0
indicador2.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA ECONÓMICA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,Total,Total,2006,4955279.0
indicador2.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA ECONÓMICA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,15-19 años,15-19 años,2006,202780.0
indicador2.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA ECONÓMICA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,20-24 años,20-24 años,2006,596534.0
indicador2.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA ECONÓMICA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,25-29 años,25-29 años,2006,660105.0
indicador2.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA ECONÓMICA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,30-34 años,30-34 años,2006,791652.0
indicador2.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA ECONÓMICA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,35-39 años,35-39 años,2006,751431.0
indicador2.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA ECONÓMICA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,40-44 años,40-44 años,2006,605520.0
indicador2.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA ECONÓMICA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,45-49 años,45-49 años,2006,473504.0
indicador2.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA ECONÓMICA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,50 y más años,50 y más años,2006,873753.0
indicador2.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA ECONÓMICA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,No especificado,No especificado,2006,0.0
indicador3.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA EMOCIONAL POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,Total,Total,2006,6927327.0
indicador3.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA EMOCIONAL POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,15-19 años,15-19 años,2006,253500.0
indicador3.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA EMOCIONAL POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,20-24 años,20-24 años,2006,746587.0
indicador3.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA EMOCIONAL POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,25-29 años,25-29 años,2006,883967.0
indicador3.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA EMOCIONAL POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,30-34 años,30-34 años,2006,1117059.0
indicador3.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA EMOCIONAL POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,35-39 años,35-39 años,2006,1050343.0
indicador3.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA EMOCIONAL POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,40-44 años,40-44 años,2006,818867.0
indicador3.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA EMOCIONAL POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,45-49 años,45-49 años,2006,713006.0
indicador3.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA EMOCIONAL POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,50 y más años,50 y más años,2006,1343580.0
indicador3.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS QUE HAN SUFRIDO VIOLENCIA EMOCIONAL POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR GRUPOS DE EDAD,INMUJERES,No especificado,No especificado,2006,418.0
